,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Taylor SWift,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009
1,Taylor SWift,0.658,0.877,7,-2.098,1,0.0323,0.173,0.0,0.0962,0.821,105.586
2,Taylor SWift,0.621,0.417,10,-6.941,1,0.0231,0.288,0.0,0.119,0.289,99.953
3,Taylor SWift,0.576,0.777,9,-2.881,1,0.0324,0.051,0.0,0.32,0.428,115.028
4,Taylor SWift,0.418,0.482,5,-5.769,1,0.0266,0.217,0.0,0.123,0.261,175.558
5,Taylor SWift,0.589,0.805,5,-4.055,1,0.0293,0.00491,0.0,0.24,0.591,112.982
6,Taylor SWift,0.479,0.578,2,-4.963,1,0.0294,0.525,0.0,0.0841,0.192,146.165
7,Taylor SWift,0.594,0.629,8,-4.919,1,0.0246,0.0868,0.0,0.137,0.504,131.597
8,Taylor SWift,0.476,0.777,4,-3.771,0,0.0289,0.0103,0.0,0.196,0.472,167.964
9,Taylor SWift,0.403,0.627,2,-5.28,1,0.0292,0.0177,0.0,0.182,0.374,74.9
10,Taylor SWift,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011
11,Taylor SWift,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964
12,Taylor SWift,0.612,0.394,7,-5.723,1,0.0243,0.637,0.0,0.147,0.233,96.001
13,Taylor SWift,0.483,0.751,4,-5.726,1,0.0365,0.00349,0.0,0.128,0.268,156.092
14,Taylor SWift,0.459,0.753,10,-3.827,1,0.0537,0.0402,0.0,0.0863,0.483,199.997
0,Fearless Taylor's Version,0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.333,0.43,100.118
1,Fearless Taylor's Version,0.559,0.646,7,-4.61,1,0.0272,0.116,0.0,0.32,0.289,95.466
2,Fearless Taylor's Version,0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054
3,Fearless Taylor's Version,0.788,0.571,6,-6.135,1,0.0296,0.106,0.0,0.0934,0.797,115.99
4,Fearless Taylor's Version,0.423,0.517,0,-7.377,1,0.0486,0.369,0.0,0.177,0.366,185.262
5,Fearless Taylor's Version,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033
6,Fearless Taylor's Version,0.506,0.626,1,-6.066,1,0.0287,0.156,0.0,0.228,0.321,148.035
7,Fearless Taylor's Version,0.578,0.909,7,-3.669,1,0.0628,0.0222,0.0,0.333,0.541,100.023
8,Fearless Taylor's Version,0.506,0.444,6,-4.99,1,0.0285,0.0538,0.0,0.123,0.241,133.873
9,Fearless Taylor's Version,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032
10,Fearless Taylor's Version,0.598,0.821,10,-4.433,1,0.0447,0.0231,0.0,0.143,0.673,128.03
